034642.35+680938.2,56.67657665,68.160590675005,5.442310655520556,2.82675990024644,2.5612049210657597,5.12240984213152,7.683614763197281
034643.19+680211.6,56.68005265,68.036525675005,6.88434,5.7892412404111,2.471818096481464,4.943636192962928,7.415454289444392
034702.73+681001.6,56.761488650000004,68.167082675005,5.186390565895965,2.79536419249563,2.3169154205386957,4.6338308410773905,6.950746261616087
034644.91+680859.1,56.687241650000004,68.149707675005,6.041172878642322,4.53395558211516,2.210880547487387,4.421761094974774,6.632641642462162
034619.81+680837.5,56.582642650000004,68.143719675005,5.111697394771333,2.89510503498306,2.182249675034583,4.364499350069165,6.546749025103749
034701.15+680845.2,56.75489665,68.145865675005,4.926407406936651,3.43605412062109,1.767939527184549,3.535879054369098,5.3038185815536485
034603.44+680552.2,56.51443665,68.097804675005,4.593482526162706,2.9027475086987,1.7514053715643478,3.5028107431286957,5.254216114693044
034728.98+680823.6,56.87087065,68.13986767500501,4.590862516645987,2.8999974231872,1.7507438048943929,3.5014876097887857,5.252231414683179
034622.40+680316.1,56.59342765,68.054433675005,4.95046,3.905036,1.6214598196488597,3.2429196392977193,4.864379458946579
034705.95+680927.8,56.77488965,68.157677675005,4.725545838701627,3.6225876417989,1.5683035360344675,3.136607072068935,4.704910608103402
034626.70+680900.0,56.61137765,68.149965675005,3.6392378599797617,2.0,1.544790945021381,3.089581890042762,4.634372835064144
034605.97+680632.7,56.52498465,68.109039675005,4.027071708930467,2.67567759994622,1.4728856897549967,2.9457713795099933,4.418657069264991
034624.46+680312.1,56.60203965,68.053340675005,4.924090266411971,4.54067845697922,1.439108403839248,2.8782168076784957,4.317325211517744
034622.57+680302.3,56.59416265,68.050620675005,4.80532,4.3031316,1.4295882643154079,2.8591765286308153,4.288764792946224
034610.71+680354.5,56.54471765,68.065102675005,4.071906125857264,2.91976917369192,1.4109284782645002,2.8218569565290004,4.232785434793501
034658.97+680750.8,56.74583365,68.130747675005,5.326002830748695,5.93351229463747,1.3804270543934594,2.7608541087869187,4.141281163180379
034622.53+680305.9,56.59397165,68.051601675005,4.76404,4.5614467,1.3520173909953128,2.7040347819906256,4.05605217298594
034728.18+680319.0,56.867525650000005,68.055244675005,5.08798,5.4762807,1.3412718869550537,2.6825437739101075,4.023815660865162
034709.44+680556.0,56.78946165,68.098870675005,4.8811634632449605,4.93775138931955,1.336649335114984,2.673298670229968,4.0099480053449525
034703.68+680054.2,56.76545865,68.015012675005,5.004485284242688,5.46189295011896,1.3046973096933336,2.6093946193866673,3.914091929080001
034618.28+680533.1,56.57629465,68.092501675005,3.624909783226616,2.67378034446775,1.2586473780132463,2.5172947560264927,3.7759421340397394
034700.38+680910.7,56.75170165,68.152942675005,3.89616,3.2362535,1.2308766802616218,2.4617533605232436,3.6926300407848656
034712.52+680237.5,56.80227165,68.043706675005,3.65156,2.81712999721652,1.2288167501195657,2.4576335002391314,3.6864502503586967
034625.12+680334.4,56.60475865,68.059511675005,5.0881,6.590842,1.1881672537320924,2.376334507464185,3.5645017611962775
034710.39+680721.0,56.793402650000004,68.122472675005,3.76463,3.355189,1.146510757129486,2.293021514258972,3.4395322713884577
034700.47+680137.6,56.752054650000005,68.027087675005,3.437155185759404,2.8141840890273,1.1365441497271638,2.2730882994543276,3.409632449181491
034646.68+680420.0,56.69462465,68.072202675005,3.70443,3.3244896,1.1284844911636576,2.256968982327315,3.3854534734909727
034603.88+680636.8,56.51626965,68.110191675005,4.14921,4.3519897,1.118975198306249,2.2379503966124985,3.3569255949187475
034728.51+680659.6,56.868893650000004,68.116510675005,4.39481,5.243282,1.0870272109177792,2.1740544218355584,3.2610816327533376
034627.53+680534.9,56.61482265,68.092996675005,3.2989479347597506,2.92534685176299,1.0576864332121194,2.115372866424239,3.173059299636359
034630.62+680340.6,56.62770465,68.061241675005,3.306316810092915,3.0,1.0447679310466265,2.089535862093253,3.134303793139879
034643.82+680700.1,56.68268865,68.116676675005,3.64383,3.659552,1.043483087119921,2.0869661742398415,3.130449261359763
034707.56+680400.8,56.781624650000005,68.066852675005,3.88528,4.2878246,1.0325574460428593,2.0651148920857185,3.0976723381285782
034700.79+680911.7,56.75340665,68.153218675005,3.90599,4.3519,1.0308645434971364,2.061729086994273,3.09259363049141
034644.58+680715.2,56.68586965,68.120859675005,3.69097,3.8901706,1.0235192583785904,2.0470385167571807,3.070557775135771
034644.17+680702.1,56.68417465,68.117205675005,3.66962,3.886803,1.016820502204264,2.033641004408528,3.0504615066127925
034642.79+680346.4,56.67839165,68.062860675005,3.0500788631702624,2.71207223616689,1.0167668700161603,2.0335337400323206,3.050300610048481
034635.01+680141.3,56.64600465,68.028116675005,3.1426808893019675,2.88727245022022,1.011256757699234,2.022513515398468,3.0337702730977023
034719.74+680613.2,56.83238265,68.103641675005,4.05132,4.9631104,1.0035057472202582,2.007011494440517,3.0105172416607746
034636.68+680710.2,56.652932650000004,68.119470675005,3.0462166928878123,2.78833243207149,0.9994771596480923,1.9989543192961845,2.998431478944277
034657.82+680410.7,56.74104365,68.069612675005,3.75848,4.2879453,0.9907798850915002,1.9815597701830003,2.9723396552745007
034648.58+680645.1,56.702531650000005,68.112503675005,3.0644478001696727,2.86579645954754,0.9899389826923544,1.9798779653847085,2.969816948077063
034646.90+680710.2,56.69553365,68.119470675005,3.66718,4.1101704,0.9848522226339498,1.9697044452678996,2.9545566679018496
034616.54+680403.6,56.569046650000004,68.067623675005,3.1056924117587785,3.0,0.9778329370229297,1.9556658740458597,2.9334988110687896
